STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
42,001,031402,42001031402,2191,1034,P,57484055,56962432,42,001,031600,42001031600,6887,2785,P,124036432,123570101,131807,4208,0.23,0.01,0.11,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031501,42001031501,3315,589,P,1521978,1509681,42,001,030600,42001030600,4928,1871,P,89240806,88828477,1223,1223,0.08,0.08,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031501,42001031501,3315,589,P,1521978,1509681,42,001,031401,42001031401,3975,1734,P,29689230,29645478,38652,38652,2.54,2.56,0.13,0.13,0,0.00,0.00,0,0.00,0.00
42,001,031501,42001031501,3315,589,P,1521978,1509681,42,001,031501,42001031501,3315,589,P,1493877,1481580,1482103,1469806,97.38,97.36,99.21,99.21,3315,100.00,100.00,589,100.00,100.00
42,001,031502,42001031502,4301,2029,P,2801685,2801685,42,001,031401,42001031401,3975,1734,P,29689230,29645478,7805,7805,0.28,0.28,0.03,0.03,0,0.00,0.00,0,0.00,0.00
42,001,031502,42001031502,4301,2029,P,2801685,2801685,42,001,031402,42001031402,2187,1032,P,57346674,56933417,538,538,0.02,0.02,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031502,42001031502,4301,2029,P,2801685,2801685,42,001,031502,42001031502,4305,2031,P,2821222,2821222,2793342,2793342,99.70,99.70,99.01,99.01,4301,100.00,99.91,2029,100.00,99.90
42,001,031600,42001031600,6885,2783,P,123363202,122989204,42,001,031401,42001031401,3975,1734,P,29689230,29645478,16033,0,0.01,0.00,0.05,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031600,42001031600,6885,2783,P,123363202,122989204,42,001,031402,42001031402,2187,1032,P,57346674,56933417,21768,2535,0.02,0.00,0.04,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031600,42001031600,6885,2783,P,123363202,122989204,42,001,031600,42001031600,6887,2785,P,124036432,123570101,123297141,122958409,99.95,99.97,99.40,99.50,6885,100.00,99.97,2783,100.00,99.93
42,001,031600,42001031600,6885,2783,P,123363202,122989204,42,001,031700,42001031700,2879,1291,P,103482941,103187457,28260,28260,0.02,0.02,0.03,0.03,0,0.00,0.00,0,0.00,0.00
42,001,031700,42001031700,2879,1291,P,103986955,103693541,42,001,031600,42001031600,6887,2785,P,124036432,123570101,547359,547359,0.53,0.53,0.44,0.44,0,0.00,0.00,0,0.00,0.00
42,001,031700,42001031700,2879,1291,P,103986955,103693541,42,001,031700,42001031700,2879,1291,P,103482941,103187457,103439596,103146182,99.47,99.47,99.96,99.96,2879,100.00,100.00,1291,100.00,100.00
42,003,010300,42003010300,6600,388,P,1096325,859064,42,003,010300,42003010300,6600,388,P,1098543,861282,1095874,858613,99.96,99.95,99.76,99.69,6600,100.00,100.00,388,100.00,100.00
42,003,010300,42003010300,6600,388,P,1096325,859064,42,003,020100,42003020100,3629,2342,P,2159015,1679322,451,451,0.04,0.05,0.02,0.03,0,0.00,0.00,0,0.00,0.00
42,003,020100,42003020100,3629,2342,W,2157581,1677888,42,003,020100,42003020100,3629,2342,P,2159015,1679322,2157581,1677888,100.00,100.00,99.93,99.91,3629,100.00,100.00,2342,100.00,100.00
42,003,020300,42003020300,616,473,W,1922345,1593129,42,003,020300,42003020300,616,473,W,1922345,1593129,1922345,1593129,100.00,100.00,100.00,100.00,616,100.00,100.00,473,100.00,100.00
42,003,030500,42003030500,2258,1271,P,671691,671691,42,003,020100,42003020100,3629,2342,P,2159015,1679322,983,983,0.15,0.15,0.05,0.06,0,0.00,0.00,0,0.00,0.00
42,003,030500,42003030500,2258,1271,P,671691,671691,42,003,030500,42003030500,2256,1270,W,667607,667607,667607,667607,99.39,99.39,100.00,100.00,2256,99.91,100.00,1270,99.92,100.00
42,003,030500,42003030500,2258,1271,P,671691,671691,42,003,040200,42003040200,2604,687,P,613251,613251,3101,3101,0.46,0.46,0.51,0.51,2,0.09,0.08,1,0.08,0.15
42,003,040200,42003040200,2717,744,P,621501,621501,42,003,040200,42003040200,2604,687,P,613251,613251,609149,609149,98.01,98.01,99.33,99.33,2602,95.77,99.92,686,92.20,99.85
42,003,040200,42003040200,2717,744,P,621501,621501,42,003,051000,42003051000,2106,778,P,643937,643937,12352,12352,1.99,1.99,1.92,1.92,115,4.23,5.46,58,7.80,7.46
42,003,040300,42003040300,4326,108,P,466604,466604,42,003,562000,42003562000,3247,2112,P,586939,586939,207194,207194,44.40,44.40,35.30,35.30,306,7.07,9.42,100,92.59,4.73
42,003,040300,42003040300,4326,108,P,466604,466604,42,003,982200,42003982200,4816,169,P,505672,505672,259410,259410,55.60,55.60,51.30,51.30,4020,92.93,83.47,8,7.41,4.73
42,003,040400,42003040400,3284,1641,P,445724,445724,42,003,040400,42003040400,2488,1480,W,199462,199462,199462,199462,44.75,44.75,100.00,100.00,2488,75.76,100.00,1480,90.19,100.00
42,003,040400,42003040400,3284,1641,P,445724,445724,42,003,982200,42003982200,4816,169,P,505672,505672,246262,246262,55.25,55.25,48.70,48.70,796,24.24,16.53,161,9.81,95.27
42,003,040500,42003040500,3694,1379,W,471939,471939,42,003,040500,42003040500,3694,1379,W,471939,471939,471939,471939,100.00,100.00,100.00,100.00,3694,100.00,100.00,1379,100.00,100.00
42,003,040600,42003040600,2392,1152,W,253063,253063,42,003,040600,42003040600,2392,1152,W,253063,253063,253063,253063,100.00,100.00,100.00,100.00,2392,100.00,100.00,1152,100.00,100.00
42,003,040900,42003040900,2969,1469,P,1487299,1323703,42,003,010300,42003010300,6600,388,P,1098543,861282,2669,2669,0.18,0.20,0.24,0.31,0,0.00,0.00,0,0.00,0.00
42,003,040900,42003040900,2969,1469,P,1487299,1323703,42,003,040900,42003040900,2969,1469,W,920943,920943,920943,920943,61.92,69.57,100.00,100.00,2969,100.00,100.00,1469,100.00,100.00
42,003,040900,42003040900,2969,1469,P,1487299,1323703,42,003,980800,42003980800,0,0,W,563687,400091,563687,400091,37.90,30.23,100.00,100.00,0,0.00,0.00,0,0.00,0.00
42,003,050100,42003050100,1707,1120,W,790374,790374,42,003,050100,42003050100,1707,1120,W,790374,790374,790374,790374,100.00,100.00,100.00,100.00,1707,100.00,100.00,1120,100.00,100.00
42,003,050600,42003050600,2057,1240,P,814536,807682,42,003,050600,42003050600,2057,1240,W,813174,806320,813174,806320,99.83,99.83,100.00,100.00,2057,100.00,100.00,1240,100.00,100.00
42,003,050600,42003050600,2057,1240,P,814536,807682,42,003,060500,42003060500,1274,849,P,657516,657516,1362,1362,0.17,0.17,0.21,0.21,0,0.00,0.00,0,0.00,0.00
42,003,050700,42003050700,2941,2012,W,379745,379745,42,003,562000,42003562000,3247,2112,P,586939,586939,379745,379745,100.00,100.00,64.70,64.70,2941,100.00,90.58,2012,100.00,95.27
42,003,050900,42003050900,1202,746,W,466774,462660,42,003,050900,42003050900,1202,746,W,466774,462660,466774,462660,100.00,100.00,100.00,100.00,1202,100.00,100.00,746,100.00,100.00
42,003,051000,42003051000,1991,720,W,631585,631585,42,003,051000,42003051000,2106,778,P,643937,643937,631585,631585,100.00,100.00,98.08,98.08,1991,100.00,94.54,720,100.00,92.54
42,003,051100,42003051100,1122,731,P,184646,184646,42,003,040200,42003040200,2604,687,P,613251,613251,1001,1001,0.54,0.54,0.16,0.16,0,0.00,0.00,0,0.00,0.00
42,003,051100,42003051100,1122,731,P,184646,184646,42,003,051100,42003051100,1122,731,W,183645,183645,183645,183645,99.46,99.46,100.00,100.00,1122,100.00,100.00,731,100.00,100.00
42,003,060300,42003060300,2341,1386,W,1205845,1061020,42,003,060300,42003060300,2341,1386,P,1264136,1119311,1205845,1061020,100.00,100.00,95.39,94.79,2341,100.00,100.00,1386,100.00,100.00
42,003,060500,42003060500,1274,849,P,714445,714445,42,003,060300,42003060300,2341,1386,P,1264136,1119311,58291,58291,8.16,8.16,4.61,5.21,0,0.00,0.00,0,0.00,0.00
42,003,060500,42003060500,1274,849,P,714445,714445,42,003,060500,42003060500,1274,849,P,657516,657516,656154,656154,91.84,91.84,99.79,99.79,1274,100.00,100.00,849,100.00,100.00
42,003,070300,42003070300,2197,1294,W,428548,428548,42,003,070300,42003070300,2197,1294,W,428548,428548,428548,428548,100.00,100.00,100.00,100.00,2197,100.00,100.00,1294,100.00,100.00
42,003,070500,42003070500,2997,1979,W,412753,412753,42,003,070500,42003070500,2997,1979,W,412753,412753,412753,412753,100.00,100.00,100.00,100.00,2997,100.00,100.00,1979,100.00,100.00
42,003,070600,42003070600,2082,1356,W,289740,289740,42,003,070600,42003070600,2082,1356,W,289740,289740,289740,289740,100.00,100.00,100.00,100.00,2082,100.00,100.00,1356,100.00,100.00
42,003,070800,42003070800,1705,1088,W,451965,451965,42,003,070800,42003070800,1705,1088,W,451965,451965,451965,451965,100.00,100.00,100.00,100.00,1705,100.00,100.00,1088,100.00,100.00
42,003,070900,42003070900,4934,2893,W,803227,803227,42,003,070900,42003070900,4934,2893,W,803227,803227,803227,803227,100.00,100.00,100.00,100.00,4934,100.00,100.00,2893,100.00,100.00
42,003,080200,42003080200,1679,1004,W,345562,345562,42,003,080200,42003080200,1679,1004,W,345562,345562,345562,345562,100.00,100.00,100.00,100.00,1679,100.00,100.00,1004,100.00,100.00
42,003,080400,42003080400,1369,825,W,430389,430389,42,003,080400,42003080400,1369,825,W,430389,430389,430389,430389,100.00,100.00,100.00,100.00,1369,100.00,100.00,825,100.00,100.00
42,003,080600,42003080600,1998,1226,W,404921,404921,42,003,080600,42003080600,1998,1226,W,404921,404921,404921,404921,100.00,100.00,100.00,100.00,1998,100.00,100.00,1226,100.00,100.00
42,003,080700,42003080700,1785,1163,W,275058,275058,42,003,080700,42003080700,1785,1163,W,275058,275058,275058,275058,100.00,100.00,100.00,100.00,1785,100.00,100.00,1163,100.00,100.00
42,003,080900,42003080900,1767,1102,W,380225,380225,42,003,080900,42003080900,1767,1102,W,380225,380225,380225,380225,100.00,100.00,100.00,100.00,1767,100.00,100.00,1102,100.00,100.00
42,003,090100,42003090100,1843,1124,W,802236,672176,42,003,090100,42003090100,1843,1124,P,817632,672298,802236,672176,100.00,100.00,98.12,99.98,1843,100.00,100.00,1124,100.00,100.00
42,003,090200,42003090200,2639,1546,P,1818898,1818898,42,003,090200,42003090200,2635,1544,W,441855,441855,441855,441855,24.29,24.29,100.00,100.00,2635,99.85,100.00,1544,99.87,100.00
42,003,090200,42003090200,2639,1546,P,1818898,1818898,42,003,981000,42003981000,4,2,W,1377043,1377043,1377043,1377043,75.71,75.71,100.00,100.00,4,0.15,100.00,2,0.13,100.00
42,003,090300,42003090300,1629,979,W,254548,254548,42,003,090300,42003090300,1629,979,W,254548,254548,254548,254548,100.00,100.00,100.00,100.00,1629,100.00,100.00,979,100.00,100.00
